dataset,ce,act,pe,seed,encoding_kwargs_json,lr,batch_size,num_epochs,mlp_num_layers,mlp_layer_width,sine_w0,gaussian_a,ffn_scale,mapping_input,omega,sh_lmax,reconstruction_psnr,reconstruction_psnr_polar,reconstruction_psnr_equatorial,reconstruction_psnr_r,reconstruction_psnr_g,reconstruction_psnr_b,held_out_psnr,held_out_psnr_polar,held_out_psnr_equatorial,held_out_psnr_r,held_out_psnr_g,held_out_psnr_b,status,parameter_count,wall_clock_seconds,peak_gpu_mem_mb,epochs_run,timestamp_start,timestamp_end,log_dir,mitigation_noteetopo1,angular,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,25.706192016601562,30.04080581665039,23.616283416748047,nan,nan,nan,25.67166519165039,29.94218635559082,23.606708526611328,nan,nan,nan,completed,264193,875.305,,500,2026-06-28T01:31:34,2026-06-28T01:46:10,logs/grid/relu__none_angular__etopo1__seed42/relu/version_0,
era5,angular,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,32.95521545410156,32.8336181640625,34.872215270996094,nan,nan,nan,32.93510055541992,32.79840087890625,34.84010314941406,nan,nan,nan,completed,264193,877.925,,500,2026-06-28T01:46:13,2026-06-28T02:00:50,logs/grid/relu__none_angular__era5__seed42/relu/version_0,
cmb,angular,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,29.829174041748047,30.258487701416016,29.63371467590332,nan,nan,nan,29.81987953186035,30.24420738220215,29.621173858642578,nan,nan,nan,completed,264193,1008.129,,500,2026-06-28T02:00:53,2026-06-28T02:17:41,logs/grid/relu__none_angular__cmb__seed42/relu/version_0,
hdri_sky,angular,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,error_KeyboardInterrupt,264707,19.275,,10,2026-06-28T02:17:44,2026-06-28T02:18:04,logs/grid/relu__none_angular__hdri_sky__seed42/relu/version_0,
etopo1,angular,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,25.706192016601562,30.04080581665039,23.616283416748047,nan,nan,nan,25.67166519165039,29.94218635559082,23.606708526611328,nan,nan,nan,completed,264193,913.370,,500,2026-06-28T02:19:19,2026-06-28T02:34:32,logs/grid/relu__none_angular__etopo1__seed42/relu/version_1,
hdri_sky,angular,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,26.652650833129883,26.9582462310791,25.917940139770508,25.029315948486328,26.621152877807617,29.33279037475586,26.645004272460938,26.944774627685547,25.91802406311035,25.023303985595703,26.611652374267578,29.324209213256836,completed,264707,861.999,,500,2026-06-28T02:34:35,2026-06-28T02:48:57,logs/grid/relu__none_angular__hdri_sky__seed42/relu/version_1,
hdri_urban,angular,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,20.37114715576172,28.95760726928711,16.173036575317383,20.437427520751953,20.80430030822754,19.917638778686523,20.34302520751953,29.050065994262695,16.161714553833008,20.402320861816406,20.76946449279785,19.90121078491211,completed,264707,852.018,,500,2026-06-28T02:49:00,2026-06-28T03:03:12,logs/grid/relu__none_angular__hdri_urban__seed42/relu/version_0,
etopo1,cartesian,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,27.832447052001953,30.726295471191406,26.08893585205078,nan,nan,nan,27.766664505004883,30.68783950805664,26.030170440673828,nan,nan,nan,completed,264449,826.263,,500,2026-06-28T03:03:15,2026-06-28T03:17:01,logs/grid/relu__none_cartesian__etopo1__seed42/relu/version_0,
era5,cartesian,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,35.440181732177734,34.555171966552734,37.4453239440918,nan,nan,nan,35.39853286743164,34.489784240722656,37.407691955566406,nan,nan,nan,completed,264449,851.964,,500,2026-06-28T03:17:04,2026-06-28T03:31:16,logs/grid/relu__none_cartesian__era5__seed42/relu/version_0,
cmb,cartesian,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,30.229808807373047,30.550128936767578,30.044620513916016,nan,nan,nan,30.215147018432617,30.524349212646484,30.02978515625,nan,nan,nan,completed,264449,837.922,,500,2026-06-28T03:31:19,2026-06-28T03:45:17,logs/grid/relu__none_cartesian__cmb__seed42/relu/version_0,
hdri_sky,cartesian,relu,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,29.608671188354492,28.734195709228516,29.646291732788086,28.036026000976562,29.601680755615234,32.11111831665039,29.58774757385254,28.692243576049805,29.625198364257812,28.015214920043945,29.5769100189209,32.096763610839844,completed,264963,850.211,,500,2026-06-28T03:45:19,2026-06-28T03:59:30,logs/grid/relu__none_cartesian__hdri_sky__seed42/relu/version_0,
